Event Id;Investigation Type;Accident Number;Event Date;Location;Country;Latitude;Longitude;Airport Code;Airport Name;Injury Severity;Aircraft Damage;Aircraft Category;Registration Number;Make;Model;Amateur Built;Number of Engines;Engine Type;FAR Description;Schedule;Purpose of Flight;Air Carrier;Total Fatal Injuries;Total Serious Injuries;Total Minor Injuries;Total Uninjured;Weather Condition;Broad Phase of Flight;Report Status;Publication Date   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200222X95241;Accident;WPR20CA093;02/22/2020;Columbia  CA;United States;38.030556;-120.414444;O22;N/A;Non-Fatal;Substantial;Airplane;N462;Aviat;A1;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;1;N/A;N/A;N/A;Preliminary;02/25/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200222X62353;Accident;CEN20FA096;02/22/2020;Rogers  MN;United States;45.198055;-93.652778;N/A;N/A;Fatal(1);Destroyed;Airplane;N3266Q;Beech;A36;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;1;N/A;N/A;N/A;VMC;MANEUVERING;Preliminary;02/26/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200224X12959;Accident;CEN20CA101;02/22/2020;Hawley  MN;United States;46.884166;-96.350556;04Y;Hawley Municipal Airport;Non-Fatal;Substantial;Airplane;N550FK;Cessna;A185;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;2;VMC;N/A;Preliminary;43864;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200220X10054;Accident;CEN20FA093;02/20/2020;Coleman  TX;United States;32.050833;-99.570000;N/A;N/A;Fatal(3);Destroyed;Airplane;N860J;Beech;200;No;N/A;N/A;Part 91: General Aviation;N/A;Personal;N/A;3;N/A;N/A;N/A;IMC;CRUISE;Preliminary;02/26/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200219X80403;Accident;WPR20CA092;02/18/2020;Colexico  CA;United States;N/A;N/A;N/A;N/A;Unavailable;Substantial;N/A;N288NS;Bell;OH 58A;No;N/A;N/A;Part 137: Agricultural;N/A;Aerial Application;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;02/21/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200220X92633;Accident;ERA20CA106;02/18/2020;Tampa  FL;United States;28.013889;-82.345277;VDF;Tampa Executive;Unavailable;Substantial;Helicopter;N188FS;Aerospatiale;AS350;No;N/A;N/A;Part 91: General Aviation;N/A;Instructional;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;02/20/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200220X52856;Accident;ANC20CA022;02/18/2020;Koyuk  AK;United States;65.084444;-161.268889;N/A;N/A;Non-Fatal;Substantial;N/A;N969KM;Cessna;182;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;2;N/A;N/A;Preliminary;02/20/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200217X93300;Accident;ERA20CA104;02/17/2020;Ormond Beach  FL;United States;29.301111;-81.113889;OMN;Ormond Beach Muni;Unavailable;Substantial;Helicopter;N731TA;Schweizer;269C;No;N/A;N/A;Part 91: General Aviation;N/A;Instructional;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A; ;N/A;N/A
20200217X00641;Accident;ERA20CA102;02/16/2020;Rochester  NY;United States;43.119167;-77.671945;ROC;Greater Rochester Intl;Non-Fatal;Substantial;Airplane;N1126U;Cessna;172;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;2;VMC;N/A;Preliminary;02/28/2020;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200221X22211;Accident;ERA20LA109;02/15/2020;Knoxville  TN;United States;35.963333;-83.868334;DKX;Knoxville Downtown Island;Non-Fatal;Substantial;Airplane;N377SB;Rockwell;112;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;1;1;VMC;LANDING;Preliminary;02/29/2020;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200218X90855;Accident;CEN20CA087;02/15/2020;Columbus  MS;United States;33.464444;-88.382500;UBS;Columbus-Lowndes County;Non-Fatal;Destroyed;Airplane;N7736T;Vans;RV8;Yes;N/A;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;1;VMC;STANDING;Factual;02/27/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200218X82852;N/A;CEN20CA086;02/15/2020;Huron  SD;United States;44.379723;-98.218611;HON;HURON RGNL;Unavailable;Substantial;N/A;N2019A;Cessna;182;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;N/A;VMC;N/A;Preliminary;02/18/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200214X65852;Accident;CEN20CA085;02/14/2020;Marfa  TX;United States;29.979167;-104.385555;N/A;N/A;Non-Fatal;Substantial;Helicopter;N441KA;Robinson;R44;No;1;N/A;Part 91: General Aviation;N/A;Business;N/A;N/A;N/A;N/A;1;VMC;N/A;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200213X55547;Accident;ERA20FA101;02/13/2020;Bartow  FL;United States;27.954167;-81.771389;BOW;Bartow Executive;Fatal(2);Substantial;Airplane;N1149T;Mooney;M20J;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;2;N/A;N/A;N/A;VMC;APPROACH;Preliminary;02/26/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200226X35228;Accident;ANC20CA027;02/13/2020;Kahului  HI;United States;20.896944;-156.433056;OGG;KAHULUI;Non-Fatal;Substantial;Airplane;N8649Z;Cessna;TP206;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;3;VMC;N/A;Preliminary;02/26/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
